anio,codigo_upz,codigo_localidad,nombre_localidad,clasificacion_social,x_centroide,y_centroide,hogares_reales,poblacion_total,pct_estrato_bajo,pct_estrato_medio,pct_estrato_alto,infraestructura_index_real,pct_separa_upz_real,pct_calidad_separacion_upz_real,pct_participacion_comunitaria_localidad,pct_vivienda_propia_localidad,pct_informal_localidad,pct_registro_activo_reciclador,pct_formalizacion_laboral_reciclador,num_recicladores_asignados,factor_incentivo
2018,1,1,Usaquén,Baja,52.42173470293715,112.91898919423654,866.0,2567,42.30769230769231,0.0,30.76923076923077,1.0,80.37325568082107,66.5875430601905,0.4232267310550924,18.20432710064477,36.40700859514727,100.0,0.0,3.5588494128418082,0.015384615384615385
2018,9,1,Usaquén,Baja,52.764220486745856,92.19188625768138,37567.0,119080,53.61702127659575,34.46808510638298,4.25531914893617,0.7714285714285715,76.72312747727439,57.78373182330883,0.4232267310550924,18.20432710064477,36.40700859514727,100.0,0.0,165.09068487775713,-0.2714893617021277
2018,10,1,Usaquén,Media,54.47452333031145,83.18216943219227,10822.0,31194,18.421052631578945,32.89473684210527,21.052631578947366,0.8285714285714285,80.37325568082107,66.5875430601905,0.4232267310550924,18.20432710064477,36.40700859514727,100.0,0.0,43.24688297007688,-0.12697368421052632
2018,11,1,Usaquén,Media,60.22809492236857,72.22755850641367,21062.0,68168,32.345013477088955,58.7601078167116,0.8086253369272238,0.9714285714285714,68.84995199602827,47.08741035989184,0.4232267310550924,18.20432710064477,36.40700859514727,100.0,0.0,94.50706925383732,-0.28409703504043127
2018,12,1,Usaquén,Media,48.21205986028848,76.53288821628783,20370.0,58835,3.1390134529147984,54.7085201793722,31.390134529147986,0.6571428571428571,84.14458187983718,66.83154597045804,0.4232267310550924,18.20432710064477,36.40700859514727,100.0,0.0,81.56794125615419,-0.09461883408071749
2018,13,1,Usaquén,Alta,50.62516421196206,63.011415461964596,51501.0,123293,1.7811704834605595,0.0,86.76844783715013,0.9428571428571428,85.28059921158618,72.47684889383278,0.4232267310550924,18.20432710064477,36.40700859514727,100.0,0.0,170.9315234349455,0.16132315521628499
2018,14,1,Usaquén,Alta,54.12597989024129,40.421401092850914,15087.0,39868,12.5,11.585365853658535,63.41463414634147,0.9142857142857144,93.517473005241,76.2875806532837,0.4232267310550924,18.20432710064477,36.40700859514727,100.0,0.0,55.272383479227585,0.23201219512195123
2018,15,1,Usaquén,Alta,45.25664624761402,53.15777892932296,9094.0,24440,0.0,0.0,89.39393939393939,0.9714285714285714,89.05316456072492,72.1769566448582,0.4232267310550924,18.20432710064477,36.40700859514727,100.0,0.0,33.88324100111172,0.49242424242424243
2018,16,1,Usaquén,Alta,43.52027626661661,42.57031353965014,29891.0,67760,0.0,0.0,85.91549295774648,0.9714285714285714,89.05316456072492,72.1769566448582,0.4232267310550924,18.20432710064477,36.40700859514727,100.0,0.0,93.94142431404788,0.4980281690140845
2018,88,2,Chapinero,Alta,42.86125281112812,20.414750484228133,15174.0,36695,0.0,0.0,90.04739336492891,1.0,85.8142985449947,65.45782951001642,0.5941833795463254,10.359824379573334,24.95064368350129,100.0,0.0,69.32527519133268,0.5350710900473933
2018,89,2,Chapinero,Baja,62.98261504716317,21.697107852412543,4837.0,15231,95.1923076923077,0.0,1.9230769230769231,1.0,59.68617809230392,42.4947150948463,0.5941833795463254,10.359824379573334,24.95064368350129,100.0,0.0,28.77485397027355,-0.37115384615384617
2018,90,2,Chapinero,Alta,35.53628695310171,1.914128000999335,20349.0,46307,44.63087248322148,0.3355704697986577,44.29530201342281,0.8857142857142857,81.69129402997835,62.793365172161785,0.5941833795463254,10.359824379573334,24.95064368350129,100.0,0.0,87.48454880188152,-0.21795302013422818
2018,97,2,Chapinero,Alta,37.27444853794916,24.467198521036966,15810.0,33942,0.0,1.2232415902140672,85.3211009174312,0.8285714285714285,85.8142985449947,65.45782951001642,0.5941833795463254,10.359824379573334,24.95064368350129,100.0,0.0,64.1242264762015,0.4073394495412844
2018,99,2,Chapinero,Alta,30.16765997600664,0.13382274756130452,12691.0,23444,0.0,36.95652173913043,45.65217391304348,0.9428571428571428,81.69129402997835,62.793365172161785,0.5941833795463254,10.359824379573334,24.95064368350129,100.0,0.0,44.29109556031076,-0.055434782608695644
2018,91,3,Santa Fe,Media,28.603542569557515,-13.614949310593461,4934.0,10027,0.0,50.0,24.285714285714285,0.8857142857142857,74.8513423318018,59.8240262549234,0.5498071820283936,34.4730057640131,48.787305442163415,100.0,0.0,134.69830261881668,-0.075
2018,92,3,Santa Fe,Baja,29.576666137665356,-20.499029141250844,5076.0,12041,53.84615384615384,15.384615384615383,17.094017094017094,0.9428571428571428,69.59290911730199,57.43541525110545,0.5498071820283936,34.4730057640131,48.787305442163415,100.0,0.0,161.7534917555771,-0.2717948717948718
2018,93,3,Santa Fe,Media,22.523177675371212,-24.57460689265902,7912.0,16323,6.015037593984962,69.92481203007519,0.0,0.7714285714285715,74.8513423318018,59.8240262549234,0.5498071820283936,34.4730057640131,48.787305442163415,100.0,0.0,219.27599418040737,-0.12894736842105264
2018,95,3,Santa Fe,Baja,16.6040490375661,-35.37065114263601,7885.0,20406,91.66666666666666,0.0,0.0,0.7714285714285715,43.99256712900596,32.24875405124618,0.5498071820283936,34.4730057640131,48.787305442163415,100.0,0.0,274.12521823472355,-0.36666666666666664
2018,96,3,Santa Fe,Baja,24.944099532943994,-39.01794449687237,12600.0,44303,95.58823529411764,0.0,0.0,1.0,61.77935560197444,48.332706133352325,0.5498071820283936,34.4730057640131,48.787305442163415,100.0,0.0,595.1469932104753,-0.41676470588235304
2018,32,4,San Cristóbal,Baja,17.25829512080333,-56.061642679129726,28962.0,97856,89.98302207130729,0.0,0.0,0.9142857142857144,67.65753957583333,46.62789509040049,0.2714444967767144,50.85949969229312,50.30768175888187,100.0,0.0,246.7610790280653,-0.400169779286927
2018,33,4,San Cristóbal,Media,14.121732033096874,-44.40549436839297,12987.0,42167,15.677966101694915,73.72881355932203,0.0,0.9142857142857144,79.42100242605466,55.39373114139244,0.2714444967767144,50.85949969229312,50.30768175888187,100.0,0.0,106.33149136870944,-0.17330508474576273
2018,34,4,San Cristóbal,Baja,7.237475366954071,-53.98737162980484,23528.0,78361,69.07020872865274,20.683111954459203,0.0,0.7428571428571429,71.08358111157993,37.8206204445353,0.2714444967767144,50.85949969229312,50.30768175888187,100.0,0.0,197.6010148965646,-0.3073055028462998
2018,50,4,San Cristóbal,Baja,11.446031147864026,-67.54763211551122,25986.0,93229,89.1156462585034,0.0,0.0,0.8,63.72089261344356,40.32089234732478,0.2714444967767144,50.85949969229312,50.30768175888187,100.0,0.0,235.09328642809334,-0.36802721088435375
2018,51,4,San Cristóbal,Baja,10.46051936704976,-77.99977289742324,21085.0,73845,91.11111111111111,0.0,0.0,0.9714285714285714,66.97255738040057,42.40208875052701,0.2714444967767144,50.85949969229312,50.30768175888187,100.0,0.0,186.2131282785673,-0.40634920634920646
2018,52,5,Usme,Baja,11.501373570494664,-97.04842127098003,5505.0,18178,95.78947368421052,0.0,0.0,1.0,55.95423569595468,33.43092149728123,0.5152892734203515,63.309847171059154,55.47471169257355,100.0,0.0,48.12201057218655,-0.6705263157894736
